"","hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","type"
"1","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"FALSE","FALSE","TRUE","mammal"
"2","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"3","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"4","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"FALSE","FALSE","TRUE","mammal"
"5","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"6","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"7","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","TRUE","mammal"
"8","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","TRUE","FALSE","fish"
"9","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"10","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"FALSE","TRUE","FALSE","mammal"
"11","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"12","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","TRUE","FALSE","bird"
"13","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"14","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"FALSE","FALSE","FALSE","mollusc.et.al"
"15","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",4,"FALSE","FALSE","FALSE","mollusc.et.al"
"16","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","mollusc.et.al"
"17","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"18","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"19","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","TRUE","fish"
"20","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",0,"TRUE","FALSE","TRUE","mammal"
"21","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","TRUE","FALSE","bird"
"22","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"23","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"24","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"25","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"26","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"FALSE","FALSE","FALSE","amphibian"
"27","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"FALSE","FALSE","FALSE","amphibian"
"28","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","mammal"
"29","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"30","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"FALSE","TRUE","TRUE","mammal"
"31","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"32","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","TRUE","mammal"
"33","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"FALSE","FALSE","TRUE","mammal"
"34","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"35","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"36","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","FALSE","mammal"
"37","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","mammal"
"38","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"39","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"40","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",6,"FALSE","TRUE","FALSE","insect"
"41","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"42","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"43","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"44","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"45","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"46","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"47","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","mollusc.et.al"
"48","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"49","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"50","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","mammal"
"51","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"52","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"53","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","amphibian"
"54","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",8,"FALSE","FALSE","TRUE","mollusc.et.al"
"55","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","mammal"
"56","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"57","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"58","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","TRUE","FALSE","bird"
"59","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"60","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"61","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","TRUE","fish"
"62","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"63","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",0,"TRUE","FALSE","FALSE","reptile"
"64","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"65","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"66","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","TRUE","mammal"
"67","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",0,"TRUE","FALSE","TRUE","mammal"
"68","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"69","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","TRUE","mammal"
"70","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"71","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","TRUE","TRUE","mammal"
"72","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"73","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE",8,"TRUE","FALSE","FALSE","mollusc.et.al"
"74","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"75","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",0,"FALSE","FALSE","TRUE","mammal"
"76","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE",2,"TRUE","FALSE","TRUE","mammal"
"77","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE",0,"TRUE","FALSE","FALSE","reptile"
"78","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0,"FALSE","FALSE","FALSE","mollusc.et.al"
"79","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"80","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"81","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",0,"TRUE","FALSE","FALSE","reptile"
"82","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0,"FALSE","FALSE","FALSE","mollusc.et.al"
"83","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","FALSE","fish"
"84","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
"85","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","mammal"
"86","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",5,"FALSE","FALSE","FALSE","mollusc.et.al"
"87","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE",0,"TRUE","FALSE","TRUE","fish"
"88","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"89","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"90","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"FALSE","FALSE","FALSE","amphibian"
"91","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","reptile"
"92","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","reptile"
"93","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE",0,"TRUE","FALSE","TRUE","fish"
"94","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","mammal"
"95","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","FALSE","mammal"
"96","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","bird"
"97","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","TRUE","mammal"
"98","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",6,"FALSE","FALSE","FALSE","insect"
"99","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE",4,"TRUE","FALSE","TRUE","mammal"
"100","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0,"FALSE","FALSE","FALSE","mollusc.et.al"
"101","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE",2,"TRUE","FALSE","FALSE","bird"
